"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
6.88486527781258e-66,-5.32208101971161,0.025,0.855,1.34619770777069e-61,"ACBD7","Up in Astrocytes"
3.0535429137776e-64,-5.60295534216454,0.025,0.826,5.97059245930934e-60,"SLC14A1","Up in Astrocytes"
1.0999704982014e-63,-6.39918227817337,0.092,0.855,2.15077231513319e-59,"GFAP","Up in Astrocytes"
2.30039190921277e-63,-7.17732579676814,0.076,0.913,4.49795630008372e-59,"PMP2","Up in Astrocytes"
6.2416138696907e-62,-6.15608659239149,0.008,0.812,1.22042275994062e-57,"CMYA5","Up in Astrocytes"
6.41437990421889e-61,-5.58983329567142,0,0.826,1.25420370267192e-56,"HEPH","Up in Astrocytes"
7.6305510436558e-61,-6.39666382604439,0.025,0.739,1.49200164556602e-56,"CA2","Up in Astrocytes"
1.08279248957305e-60,-8.246699265391,0.151,1,2.11718415486218e-56,"SLC1A3","Up in Astrocytes"
3.65278961390476e-60,4.13387254097464,1,0.913,7.14229953206798e-56,"TUBA1A","Up in Neurons"
6.81031257786275e-60,-5.0364168932325,0.042,0.957,1.3316204183495e-55,"TTYH1","Up in Astrocytes"
1.74892732238921e-59,-6.12315117449937,0.025,0.783,3.41967759346762e-55,"CTSH","Up in Astrocytes"
2.26347519531148e-59,-5.91112271275419,0.059,0.899,4.42577304939253e-55,"ZNRF3","Up in Astrocytes"
3.12197179818786e-59,-6.62983048833223,0.017,0.986,6.10439145699672e-55,"HTRA1","Up in Astrocytes"
7.73014985220518e-59,-5.99905762127962,0.025,0.855,1.51147620060168e-54,"IFITM3","Up in Astrocytes"
1.09951846785717e-58,-6.17223916752442,0.017,0.812,2.14988846020112e-54,"SLC13A5","Up in Astrocytes"
1.1501330680855e-58,-7.14193767294171,0.16,0.986,2.24885518802759e-54,"F3","Up in Astrocytes"
1.61484888966409e-57,-4.7706135470176,0,0.87,3.1575140339602e-53,"APOE","Up in Astrocytes"
6.74322962141379e-57,-4.52893515302923,0.05,0.899,1.31850368787504e-52,"CPT1A","Up in Astrocytes"
1.86446384759489e-56,-6.25993664721394,0.067,0.855,3.6455861612023e-52,"IL33","Up in Astrocytes"
2.28725585763999e-56,-6.03260168638512,0,0.754,4.47227137844346e-52,"ADHFE1","Up in Astrocytes"
9.7280859217197e-56,-5.61628814079898,0.017,0.754,1.90213264027385e-51,"ABCC9","Up in Astrocytes"
1.17763865900491e-55,-3.81351259867019,0.109,0.913,2.30263686995231e-51,"HES1","Up in Astrocytes"
1.44510089769302e-55,-4.82598538639021,0.05,0.812,2.82560578525916e-51,"PDGFRB","Up in Astrocytes"
4.61201922773005e-55,-4.96180802476314,0,0.783,9.01788119598057e-51,"S100A13","Up in Astrocytes"
7.23975185263936e-55,-6.09603732536078,0.017,0.725,1.41558867974657e-50,"KANK1","Up in Astrocytes"
6.0949357906271e-54,-5.66917493280167,0.017,0.768,1.19174279514132e-49,"ITPKB","Up in Astrocytes"
9.84604989249787e-54,-4.53735704751878,0.008,0.899,1.92519813548011e-49,"NACC2","Up in Astrocytes"
2.23121873572912e-53,-4.98617916258607,0.008,0.536,4.36270199397116e-49,"SLC7A2","Up in Astrocytes"
4.15425393878257e-53,-6.11673406516358,0.017,0.739,8.12281272650155e-49,"SSPN","Up in Astrocytes"
4.92096379776305e-53,-5.62508255063153,0.008,0.768,9.6219605137661e-49,"ACSS1","Up in Astrocytes"
8.6151959549394e-53,-5.5087100596857,0.017,0.812,1.6845292650693e-48,"CABLES1","Up in Astrocytes"
3.8834606542658e-52,-7.19909870916345,0.017,0.957,7.59333061728592e-48,"EDNRB","Up in Astrocytes"
5.31442216708859e-52,-5.84926837325332,0.672,1,1.03912896633083e-47,"SLC1A2","Up in Astrocytes"
7.68011064286156e-52,-5.91944553262131,0.017,0.754,1.50169203399872e-47,"KLF9","Up in Astrocytes"
2.66301483212789e-51,-6.24062475231806,0.008,0.71,5.20699290125965e-47,"SELENBP1","Up in Astrocytes"
6.97610655483528e-51,-7.05071980701858,0.05,0.942,1.36403811466694e-46,"SLC7A11","Up in Astrocytes"
7.13904021368975e-51,-6.11797638129921,0,0.754,1.39589653298276e-46,"MFAP3L","Up in Astrocytes"
1.21282461113654e-50,-5.68328840224363,0.05,0.971,2.37143596215528e-46,"MT2A","Up in Astrocytes"
3.56527744305104e-50,5.48425636872343,0.622,0.043,6.97118698439771e-46,"SEMA3C","Up in Neurons"
